name,popdens
"Custer County, Colorado",5.760701
"Delta County, Colorado",27.10213
"Denver County, Colorado",3922.597
"Dolores County, Colorado",1.934303
"Douglas County, Colorado",339.739
"Eagle County, Colorado",30.9861
"Elbert County, Colorado",12.47321
"El Paso County, Colorado",292.5816
"Fremont County, Colorado",30.54268
"Garfield County, Colorado",19.13072
"Gilpin County, Colorado",36.29847
"Grand County, Colorado",8.039193
"Gunnison County, Colorado",4.730944
"Hinsdale County, Colorado",0.7545303
"Huerfano County, Colorado",4.2181
"Jackson County, Colorado",0.8638409
"Jefferson County, Colorado",699.473
"Kiowa County, Colorado",0.7908282
"Kit Carson County, Colorado",3.827248
"Lake County, Colorado",19.39451
"La Plata County, Colorado",30.33784
"Larimer County, Colorado",115.4198
"Las Animas County, Colorado",3.249124
"Lincoln County, Colorado",2.120944
"Logan County, Colorado",12.3516
"Mesa County, Colorado",44.07454
"Mineral County, Colorado",0.813095
"Moffat County, Colorado",2.908319
"Montezuma County, Colorado",12.58175
"Montrose County, Colorado",18.42107
"Morgan County, Colorado",21.99179
"Otero County, Colorado",14.92201
"Ouray County, Colorado",8.190656
"Park County, Colorado",7.387027
"Phillips County, Colorado",6.457072
"Pitkin County, Colorado",17.66565
"Prowers County, Colorado",7.660548
"Pueblo County, Colorado",66.66222
"Rio Blanco County, Colorado",2.069586
"Rio Grande County, Colorado",13.13877
"Routt County, Colorado",9.952896
"Saguache County, Colorado",1.927711
"San Juan County, Colorado",1.803929
"San Miguel County, Colorado",5.719676
"Sedgwick County, Colorado",4.340918
"Summit County, Colorado",46.01569
"Teller County, Colorado",41.91683
"Washington County, Colorado",1.911811
"Weld County, Colorado",63.40855
"Yuma County, Colorado",4.247581
"Fairfield County, Connecticut",1467.186
"Hartford County, Connecticut",1216.185
"Litchfield County, Connecticut",206.3168
"Middlesex County, Connecticut",448.62
"New Haven County, Connecticut",1426.747
"New London County, Connecticut",412.1884
"Tolland County, Connecticut",372.2231
"Windham County, Connecticut",230.8944
"Kent County, Delaware",276.895
"New Castle County, Delaware",1263.188
"Sussex County, Delaware",210.6073
"District of Columbia, District of Columbia",9856.487
"Alachua County, Florida",282.6632
"Baker County, Florida",46.33213
"Bay County, Florida",222.625
"Bradford County, Florida",97.0195
"Brevard County, Florida",534.9957
"Broward County, Florida",1444.939
"Calhoun County, Florida",25.77845
"Charlotte County, Florida",235.1654
"Citrus County, Florida",242.8003
"Clay County, Florida",315.8132
"Collier County, Florida",160.8948
"Columbia County, Florida",84.67049
"DeSoto County, Florida",54.72332
"Dixie County, Florida",23.29186
"Duval County, Florida",1133.918
"Escambia County, Florida",453.3688
"Flagler County, Florida",197.124
"Franklin County, Florida",21.59802
"Gadsden County, Florida",89.8434
"Gilchrist County, Florida",48.44188
"Glades County, Florida",15.98493
"Gulf County, Florida",28.12528
"Hamilton County, Florida",28.80357
"Hardee County, Florida",43.48032
"Hendry County, Florida",33.95358
"Hernando County, Florida",365.6379
"Highlands County, Florida",97.17152
"Hillsborough County, Florida",1204.871
"Holmes County, Florida",41.62059
"Indian River County, Florida",274.4796
"Jackson County, Florida",54.20371
"Jefferson County, Florida",24.68002
"Lafayette County, Florida",16.32282
"Lake County, Florida",316.558
"Lee County, Florida",788.7109
"Leon County, Florida",413.1157
"Levy County, Florida",36.48792
"Liberty County, Florida",10.01123
"Madison County, Florida",27.62274
"Manatee County, Florida",434.5397
"Marion County, Florida",209.0807
"Martin County, Florida",269.2321
"Miami-Dade County, Florida",1315.495
"Monroe County, Florida",74.33267
"Nassau County, Florida",113.0274
"Okaloosa County, Florida",194.3806
"Okeechobee County, Florida",52.01662
"Orange County, Florida",1268.452
"Osceola County, Florida",202.4065
"Palm Beach County, Florida",670.1993
"Pasco County, Florida",622.1793
"Pinellas County, Florida",3347.501
"Polk County, Florida",334.8997
"Putnam County, Florida",102.2014
"St. Johns County, Florida",316.3862
"St. Lucie County, Florida",485.7081
"Santa Rosa County, Florida",149.6355
"Sarasota County, Florida",682.6228
"Seminole County, Florida",1367.041
"Sumter County, Florida",170.8072
"Suwannee County, Florida",60.34549
"Taylor County, Florida",21.63317
"Union County, Florida",63.78418
"Volusia County, Florida",449.2087
"Wakulla County, Florida",50.75042
"Walton County, Florida",53.04711
"Washington County, Florida",42.71767
"Appling County, Georgia",35.96269
"Atkinson County, Georgia",24.67723
"Bacon County, Georgia",42.912
"Baker County, Georgia",10.09231
"Baldwin County, Georgia",177.3167
"Banks County, Georgia",79.25779
"Barrow County, Georgia",432.7078
"Bartow County, Georgia",217.9486
"Ben Hill County, Georgia",70.50201
"Berrien County, Georgia",42.67787
"Bibb County, Georgia",622.7818
"Bleckley County, Georgia",60.51333
"Brantley County, Georgia",41.61973
"Brooks County, Georgia",32.94421
"Bryan County, Georgia",69.34706
"Bulloch County, Georgia",104.3639
"Burke County, Georgia",28.19457
"Butts County, Georgia",128.2857
"Calhoun County, Georgia",23.87584
"Camden County, Georgia",82.39955
"Candler County, Georgia",45.25109
"Carroll County, Georgia",221.4633
"Catoosa County, Georgia",394.3157
"Charlton County, Georgia",15.73342
"Chatham County, Georgia",621.729
"Chattahoochee County, Georgia",45.297
"Chattooga County, Georgia",83.02535
"Cherokee County, Georgia",508.322
"Clarke County, Georgia",979.1413
"Clay County, Georgia",16.29121
"Clayton County, Georgia",1832.48
"Clinch County, Georgia",8.495137
"Cobb County, Georgia",2026.446
"Coffee County, Georgia",73.65015
"Colquitt County, Georgia",83.61246
"Columbia County, Georgia",427.6366
"Cook County, Georgia",75.76987
"Coweta County, Georgia",288.7713
"Crawford County, Georgia",38.87492
"Crisp County, Georgia",85.98833
"Dade County, Georgia",95.60224
"Dawson County, Georgia",105.9149
"Decatur County, Georgia",46.62561
"DeKalb County, Georgia",2585.724
"Dodge County, Georgia",43.9533
"Dooly County, Georgia",38.06194
"Dougherty County, Georgia",287.7039
"Douglas County, Georgia",661.7935
"Early County, Georgia",21.47509
"Echols County, Georgia",9.722955
"Effingham County, Georgia",109.3784
"Elbert County, Georgia",57.44396
"Emanuel County, Georgia",33.20287
"Evans County, Georgia",60.15769
"Fannin County, Georgia",61.23761
"Fayette County, Georgia",548.347
"Floyd County, Georgia",188.89
"Forsyth County, Georgia",783.459
"Franklin County, Georgia",84.45235
"Fulton County, Georgia",1748.045
"Gilmer County, Georgia",66.32906
"Glascock County, Georgia",21.44154
"Glynn County, Georgia",189.6973
"Gordon County, Georgia",155.1004
"Grady County, Georgia",55.02645
"Greene County, Georgia",41.28172
"Gwinnett County, Georgia",1871.172
"Habersham County, Georgia",155.5289
