zip_merge,total_pop,white,black,asian,latino
ZCTA5 01151,8244,3854,1229,245,2766
ZCTA5 01199,0,0,0,0,0
ZCTA5 01201,46257,40058,2361,493,2305
ZCTA5 01220,8706,8310,48,35,162
ZCTA5 01222,783,718,0,6,19
ZCTA5 01223,2358,2258,9,41,8
ZCTA5 01224,249,196,0,53,0
ZCTA5 01225,3033,2970,12,0,12
ZCTA5 01226,6971,6799,31,102,39
ZCTA5 01229,178,178,0,0,0
ZCTA5 01230,8697,7365,225,155,651
ZCTA5 01235,2861,2786,15,19,5
ZCTA5 01236,1323,1197,17,0,58
ZCTA5 01237,2544,2468,38,11,27
ZCTA5 01238,6209,5998,6,109,95
ZCTA5 01240,4418,4081,70,76,124
ZCTA5 01242,578,550,0,0,28
ZCTA5 01243,249,249,0,0,0
ZCTA5 01244,172,152,0,0,20
ZCTA5 01245,833,774,3,0,45
ZCTA5 01247,16213,14682,492,46,490
ZCTA5 01253,584,558,5,0,11
ZCTA5 01254,1187,1150,0,6,17
ZCTA5 01255,985,917,0,35,9
ZCTA5 01256,706,694,1,0,4
ZCTA5 01257,2138,2007,4,90,30
ZCTA5 01258,262,255,4,0,3
ZCTA5 01259,516,499,0,5,0
ZCTA5 01260,73,73,0,0,0
ZCTA5 01262,1040,945,40,14,41
ZCTA5 01264,138,138,0,0,0
ZCTA5 01266,1686,1573,25,0,33
ZCTA5 01267,8035,7410,81,287,100
ZCTA5 01270,798,789,0,0,0
ZCTA5 01301,17822,16111,260,201,771
ZCTA5 01330,1574,1459,21,6,30
ZCTA5 01331,13456,12298,63,73,585
ZCTA5 01337,2569,2522,0,14,18
ZCTA5 01338,245,245,0,0,0
ZCTA5 01339,1441,1363,21,21,17
ZCTA5 01340,1734,1596,3,28,27
ZCTA5 01341,1753,1667,15,12,12
ZCTA5 01342,1234,1193,0,0,41
ZCTA5 01343,113,113,0,0,0
ZCTA5 01344,1454,1350,2,2,45
ZCTA5 01346,395,390,0,2,3
ZCTA5 01347,74,67,1,0,0
ZCTA5 01349,980,939,0,9,11
ZCTA5 01350,122,122,0,0,0
ZCTA5 01351,2407,2169,52,39,8
ZCTA5 01354,1428,1325,4,0,82
ZCTA5 01355,843,812,25,0,6
ZCTA5 01360,3034,2924,0,0,102
ZCTA5 01364,7942,7542,85,43,235
ZCTA5 01366,1335,1262,10,33,7
ZCTA5 01367,450,423,0,1,15
ZCTA5 01368,1058,1012,0,13,16
ZCTA5 01370,4362,4262,24,29,28
ZCTA5 01373,4770,4566,5,43,56
ZCTA5 01375,3696,3172,9,269,148
ZCTA5 01376,5329,4633,50,109,459
ZCTA5 01378,601,572,0,16,5
ZCTA5 01379,1042,926,42,20,26
ZCTA5 01420,40309,28181,1587,1411,8472
ZCTA5 01430,6033,5466,51,50,320
ZCTA5 01431,3030,2923,0,12,55
ZCTA5 01432,6945,5859,297,159,341
ZCTA5 01434,1607,980,306,15,207
ZCTA5 01436,3320,3212,22,1,57
ZCTA5 01438,379,379,0,0,0
ZCTA5 01440,20479,17994,500,566,1094
ZCTA5 01450,10478,9948,81,215,107
ZCTA5 01451,4711,4221,101,236,118
ZCTA5 01452,4341,4163,0,34,129
ZCTA5 01453,41069,30613,2305,1165,6008
ZCTA5 01460,8810,8177,3,354,126
ZCTA5 01462,10034,9336,151,123,205
ZCTA5 01463,11407,10841,22,182,234
ZCTA5 01464,7235,5585,574,145,778
ZCTA5 01467,590,581,0,4,5
ZCTA5 01468,4055,3920,0,62,12
ZCTA5 01469,6669,6412,0,55,171
ZCTA5 01473,7250,7005,12,25,135
ZCTA5 01474,2237,2038,0,39,160
ZCTA5 01475,10250,9381,54,275,365
ZCTA5 01501,16025,15334,157,90,164
ZCTA5 01503,2819,2641,25,56,61
ZCTA5 01504,9028,8311,133,75,263
ZCTA5 01505,4320,4067,1,72,130
ZCTA5 01506,3363,3342,0,0,2
ZCTA5 01507,12827,12151,0,53,496
ZCTA5 01510,13614,11303,212,139,1657
ZCTA5 01515,2058,1992,22,0,0
ZCTA5 01516,8372,8150,33,14,78
ZCTA5 01518,2972,2775,3,13,95
ZCTA5 01519,6431,6162,8,188,32
ZCTA5 01520,14156,13341,65,415,204
ZCTA5 01521,2595,2446,25,41,47
ZCTA5 01522,3041,2971,30,40,0
ZCTA5 01523,7329,5958,570,137,473
ZCTA5 01524,6841,6291,76,194,274
ZCTA5 01525,203,203,0,0,0
ZCTA5 01527,13216,12273,28,373,391
ZCTA5 01529,3154,3027,57,0,27
ZCTA5 01531,1124,1102,0,5,17
ZCTA5 01532,14180,12087,85,1071,557
ZCTA5 01534,5142,4921,32,48,118
ZCTA5 01535,4686,4439,15,0,36
ZCTA5 01536,7063,5873,335,530,262
ZCTA5 01537,2312,2217,0,16,13
ZCTA5 01540,11377,10600,84,78,407
ZCTA5 01541,3412,3307,46,43,16
ZCTA5 01542,1744,1698,0,14,23
ZCTA5 01543,7812,7208,117,157,280
ZCTA5 01545,35146,27207,691,5476,833
ZCTA5 01550,16800,10614,191,410,5149
ZCTA5 01560,4073,3228,0,730,98
ZCTA5 01561,359,293,33,11,8
ZCTA5 01562,11715,10685,45,29,856
ZCTA5 01564,7768,7600,60,24,43
ZCTA5 01566,6161,5660,0,148,290
ZCTA5 01568,7281,6979,2,91,50
ZCTA5 01569,13171,12712,112,107,165
ZCTA5 01570,16752,14884,385,252,561
ZCTA5 01571,11276,10083,203,132,425
ZCTA5 01581,18285,13310,780,3099,741
ZCTA5 01583,7600,6594,375,20,526
ZCTA5 01585,4448,4248,92,102,0
ZCTA5 01588,10262,9760,16,107,201
ZCTA5 01590,8808,8658,14,59,77
ZCTA5 01602,22353,17125,1624,899,2236
ZCTA5 01603,18858,11494,1135,1823,4203
ZCTA5 01604,35564,24233,2997,1965,5108
ZCTA5 01605,25895,12488,4284,1334,7107
ZCTA5 01606,20283,16313,1750,737,1403
ZCTA5 01607,8425,5055,964,365,1871
ZCTA5 01608,3961,822,345,224,2220
ZCTA5 01609,21346,14764,2028,924,2976
ZCTA5 01610,24114,11656,2267,1882,7767
ZCTA5 01611,2362,2113,43,10,149
ZCTA5 01612,4767,4377,212,107,43
ZCTA5 01701,30895,24342,1715,2113,1934
ZCTA5 01702,36996,20973,2648,2778,7307
ZCTA5 01718,563,238,0,325,0
ZCTA5 01719,4957,4152,21,655,48
ZCTA5 01720,20897,16015,222,3540,419
ZCTA5 01721,16305,14741,409,680,235
ZCTA5 01730,13297,11338,272,1100,194
ZCTA5 01731,1883,1370,52,32,305
ZCTA5 01740,4827,4555,2,98,72
ZCTA5 01741,4814,4232,19,365,70
ZCTA5 01742,17719,15260,505,728,883
ZCTA5 01745,378,322,0,42,0
ZCTA5 01746,13512,12598,113,355,148
ZCTA5 01747,5909,5620,17,112,160
ZCTA5 01748,14691,13668,3,686,197
ZCTA5 01749,18845,17049,100,462,595
ZCTA5 01752,38087,30177,885,2145,3517
ZCTA5 01754,10083,8875,77,273,646
ZCTA5 01756,5787,5441,14,64,228
ZCTA5 01757,28008,23101,337,475,2952
ZCTA5 01760,32559,27820,818,2335,986
ZCTA5 01770,4102,3727,0,249,104
ZCTA5 01772,9293,7682,98,1112,155
ZCTA5 01773,4701,4169,47,284,75
ZCTA5 01775,6488,5913,23,209,209
ZCTA5 01776,17482,15549,103,1049,309
ZCTA5 01778,13062,11360,140,1319,109
ZCTA5 01801,38252,32184,1398,2591,1536
ZCTA5 01803,23998,19314,491,3107,679
ZCTA5 01810,32945,27467,365,3162,1365
ZCTA5 01821,30168,27395,488,1559,443
ZCTA5 01824,24934,22142,166,1646,605
ZCTA5 01826,29213,26214,574,787,1329
ZCTA5 01827,3128,2957,0,34,63
ZCTA5 01830,25062,18707,747,448,4187
ZCTA5 01832,21934,17219,489,410,3458
ZCTA5 01833,8083,7906,24,8,93
ZCTA5 01834,6401,6250,0,78,73
ZCTA5 01835,13548,11892,432,339,822
ZCTA5 01840,4432,622,57,25,3642
ZCTA5 01841,47741,7933,635,862,38041
ZCTA5 01843,23686,7721,528,1496,13673
ZCTA5 01844,46687,35119,887,2147,8132
ZCTA5 01845,28156,25086,348,1529,811
ZCTA5 01850,16170,10005,1206,985,3176
ZCTA5 01851,29726,12324,2018,11153,3127
ZCTA5 01852,32664,19813,1934,3991,5319
ZCTA5 01854,27336,15127,1060,4567,5453
ZCTA5 01860,6297,6170,11,46,63
ZCTA5 01862,10145,8899,207,345,536
ZCTA5 01863,8676,7498,19,484,519
ZCTA5 01864,14703,13849,71,402,310
ZCTA5 01867,24083,21978,302,746,745
ZCTA5 01876,28395,26074,441,1080,475
ZCTA5 01879,11198,10192,69,539,324
ZCTA5 01880,24699,23058,59,847,411
ZCTA5 01886,21716,17992,118,2671,298
ZCTA5 01887,22116,20553,308,649,305
ZCTA5 01890,21205,18543,40,2014,229
ZCTA5 01901,1832,756,331,105,595
ZCTA5 01902,44991,18648,5157,3853,16092
ZCTA5 01904,19076,14538,1369,349,2451
ZCTA5 01905,24071,10866,3193,1605,8032
ZCTA5 01906,26516,23554,524,744,1297
ZCTA5 01907,13974,12933,211,107,484
ZCTA5 01908,3420,3176,86,17,132
ZCTA5 01913,16267,15390,85,118,348
ZCTA5 01915,39455,35942,927,703,1252
ZCTA5 01921,7950,7704,0,120,46
ZCTA5 01922,3062,3034,28,0,0
ZCTA5 01923,26265,24992,99,468,535
ZCTA5 01929,3470,3412,0,0,42
ZCTA5 01930,28869,27350,168,192,739
ZCTA5 01937,38,38,0,0,0
ZCTA5 01938,13127,12787,33,136,95
ZCTA5 01940,11793,10878,0,443,304
ZCTA5 01944,5137,5052,0,0,72
ZCTA5 01945,19811,19012,123,186,297
ZCTA5 01949,8839,7531,39,490,640
ZCTA5 01950,17370,16322,123,214,534
ZCTA5 01951,3585,3415,82,17,43
ZCTA5 01952,8212,8003,33,0,110
ZCTA5 01960,50674,44682,959,1196,2881
ZCTA5 01966,7021,6911,0,14,59
ZCTA5 01969,5815,5714,41,11,49
ZCTA5 01970,41051,30927,1729,995,6333
ZCTA5 01982,7809,6736,142,519,260
ZCTA5 01983,6075,5851,0,168,28
ZCTA5 01984,4831,4530,99,92,39
ZCTA5 01985,4222,3939,2,0,281
ZCTA5 02019,16165,14923,310,317,327
ZCTA5 02021,21408,18243,1404,1019,428
ZCTA5 02025,7483,7373,3,14,21
ZCTA5 02026,24521,20948,1113,828,1139
ZCTA5 02030,5564,4943,51,250,120
ZCTA5 02032,3709,3079,0,326,304
ZCTA5 02035,16734,15449,306,652,236
ZCTA5 02038,31317,28530,256,1145,845
ZCTA5 02043,21916,21060,252,347,38
ZCTA5 02045,10391,9526,175,89,364
ZCTA5 02047,171,171,0,0,0
ZCTA5 02048,23094,20617,509,952,688
ZCTA5 02050,25360,24108,76,237,425
ZCTA5 02052,12004,11117,74,363,288
ZCTA5 02053,12670,11754,45,386,334
ZCTA5 02054,7852,7116,0,398,250
ZCTA5 02056,10994,9654,583,110,506
ZCTA5 02061,10430,9889,36,237,180
ZCTA5 02062,28483,24122,886,1493,959
ZCTA5 02066,17643,16888,95,136,78
ZCTA5 02067,17341,13896,915,1667,429
ZCTA5 02071,1831,1352,160,13,286
ZCTA5 02072,27008,22566,2703,635,564
ZCTA5 02081,18561,17410,482,327,282
ZCTA5 02090,14508,13283,70,627,175
ZCTA5 02093,10879,10601,126,80,63
ZCTA5 02108,3923,3609,106,113,42
ZCTA5 02109,4042,3338,104,153,358
ZCTA5 02110,1586,1379,1,33,99
ZCTA5 02111,6995,2707,233,3282,495
ZCTA5 02113,6768,6244,138,193,132
ZCTA5 02114,11882,9136,701,1308,532
ZCTA5 02115,29413,19395,2551,4182,2467
ZCTA5 02116,20689,14744,1401,3146,1135
ZCTA5 02118,27113,12048,4832,4487,4964
ZCTA5 02119,24166,1685,13270,639,7170
ZCTA5 02120,12691,5122,3133,1493,2494
ZCTA5 02121,24972,661,16906,161,6176
ZCTA5 02122,24761,8210,7099,4294,2699
ZCTA5 02124,48384,8411,26822,2999,8664
ZCTA5 02125,31503,9588,8718,4108,5707
ZCTA5 02126,26719,1217,22208,154,2326
ZCTA5 02127,31954,25118,1909,1684,2919
ZCTA5 02128,41128,14617,1182,1792,22393
ZCTA5 02129,16685,12587,1224,1253,1227
ZCTA5 02130,35323,20082,4828,1978,7219
ZCTA5 02131,30914,14439,6668,1215,7539
ZCTA5 02132,26813,20510,1067,1401,3237
ZCTA5 02134,20183,12434,934,3684,2629
ZCTA5 02135,40493,28460,1396,5802,3851
ZCTA5 02136,29082,8827,12268,377,6811
ZCTA5 02138,34301,24764,2009,4184,1983
ZCTA5 02139,35994,21894,5109,4388,2809
ZCTA5 02140,18398,11190,3063,2429,1153
ZCTA5 02141,12716,7608,1120,2422,1181
ZCTA5 02142,2902,1544,60,790,451
ZCTA5 02143,24652,18254,773,3097,1683
ZCTA5 02144,24338,19142,1201,1848,1422
ZCTA5 02145,24061,14818,2055,2247,4161
ZCTA5 02148,58826,30907,8511,11801,5212
ZCTA5 02149,41074,25279,5401,1348,7473
ZCTA5 02150,34872,9043,2307,1202,20787
ZCTA5 02151,50845,33330,1681,2937,11985
ZCTA5 02152,17430,15233,251,135,873
ZCTA5 02155,58211,44008,4614,4578,3292
ZCTA5 02163,1664,1045,111,274,214
ZCTA5 02169,53270,37513,3259,9398,2095
ZCTA5 02170,19889,12449,379,5775,626
