"white","W8","dep_soc","dep_soc2","dep_pol","dep_power","dep_econ","wpb2a_UK","wpb3d_UK","vote_campaign","right_wing","age","college","female","own_home","married","soc","soc30","power","power30","pol","pol30","econ","econ30"
1,0.913831621076111,-1,-1,2,3,-1,98,1,1,1,1,0,0,NA,0,2,3,4,1,3,1,3,4
1,0.79907491646504,NA,NA,-1,-1,-1,98,1,1,1,1,0,1,NA,0,1,NA,2,3,4,5,1,2
1,2.65884190840994,1,2,-1,1,1,1,7,1,1,1,0,1,NA,0,3,2,4,3,5,6,5,4
1,1.08295171652459,-1,-1,-3,-3,0,7,4,1,1,1,0,0,NA,0,2,3,2,5,2,5,8,8
1,1.62315400674216,2,1,-4,-1,0,6,5,1,1,1,1,0,NA,0,3,1,4,5,4,8,5,5
1,1.36063727094071,NA,NA,-2,1,0,1,3,0,0,1,0,1,NA,0,3,NA,5,4,3,5,4,4
1,3.03895602170461,-1,-1,NA,NA,NA,3,99,0,0,1,1,1,NA,0,1,2,NA,NA,NA,NA,NA,NA
1,2.13545926401118,NA,NA,2,1,-3,2,1,1,1,1,0,0,NA,0,3,NA,6,5,7,5,6,9
1,0.865084051939819,NA,NA,-4,-2,1,1,1,1,1,1,1,0,NA,0,2,NA,1,3,2,6,3,2
1,1.28820801823691,0,1,2,NA,NA,98,7,1,1,1,0,1,NA,0,3,3,6,NA,7,5,NA,NA
0,1.9053786681822,NA,NA,NA,NA,-1,98,6,0,0,1,1,1,NA,1,3,NA,NA,NA,3,NA,2,3
1,1.56944435717097,-1,-1,-2,-1,NA,7,1,1,1,1,1,1,NA,0,2,3,1,2,1,3,5,NA
1,0.7791821322454,NA,0,-5,-4,-2,7,1,1,1,1,1,1,NA,0,NA,4,1,5,0,5,5,7
1,1.30191198432398,NA,1,-2,3,-1,7,1,1,1,1,0,0,NA,0,NA,2,7,4,4,6,5,6
1,2.77556402006215,NA,NA,4,NA,2,2,7,1,1,1,1,0,NA,0,2,NA,NA,6,7,3,5,3
1,1.36063727094071,-1,0,2,NA,2,1,1,2,2,1,0,1,NA,0,3,4,4,NA,8,6,5,3
1,1.78602530357006,1,2,2,-1,-2,98,5,1,1,1,0,0,NA,0,3,2,5,6,7,5,6,8
1,2.68311480662485,1,1,4,1,3,4,8,2,1,1,1,0,NA,0,2,1,5,4,6,2,5,2
1,0.884103134770765,-1,0,0,0,0,1,1,1,1,1,0,1,NA,0,3,4,8,8,5,5,8,8
0,2.03365763302798,NA,NA,1,4,4,1,1,1,1,1,0,1,NA,0,3,NA,5,1,3,2,5,1
1,4.1352035027807,NA,NA,NA,NA,NA,99,99,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,1.9339315782428,1,1,1,1,-2,7,1,1,0,1,0,1,NA,0,2,1,3,2,3,2,3,5
1,1.41559902641267,0,0,NA,1,-3,7,1,1,1,1,0,1,NA,1,2,2,2,1,3,NA,4,7
0,2.22465749829827,NA,NA,NA,NA,-1,2,6,3,2,1,1,1,NA,0,2,NA,3,NA,NA,NA,3,4
1,0.456198669912503,NA,NA,-3,-2,3,2,1,1,1,2,1,0,NA,0,2,NA,3,5,3,6,6,3
1,1.90685355210126,NA,NA,2,1,-1,98,1,1,1,1,1,1,NA,0,3,NA,4,3,6,4,7,8
1,1.93495763989234,-3,-3,-2,-6,-8,98,2,1,1,1,1,1,NA,0,1,4,3,9,5,7,1,9
1,1.68283256394862,-2,-1,-4,-1,-1,5,1,1,1,1,0,1,NA,0,2,4,5,6,4,8,6,7
1,1.16892851096743,-3,-1,-5,NA,-5,7,1,1,1,1,0,1,NA,0,1,4,3,NA,1,6,1,6
0,1.12665700360589,NA,NA,NA,0,-1,2,1,1,1,1,1,0,NA,0,3,NA,6,6,5,NA,7,8
1,1.74021558176351,NA,NA,0,-7,-1,4,11,1,1,1,0,0,NA,0,1,NA,3,10,10,10,9,10
1,1.60582564274404,NA,NA,-2,-2,-2,4,11,1,2,1,0,0,NA,0,3,NA,5,7,6,8,3,5
1,1.08610635452447,-1,-1,NA,1,4,3,1,1,1,1,1,0,NA,0,3,4,9,8,NA,2,7,3
0,1.95750131598326,0,1,0,5,3,2,1,2,2,1,0,0,NA,1,2,2,7,2,4,4,6,3
1,2.23864275567926,NA,NA,NA,NA,NA,5,1,1,1,1,0,0,NA,0,3,NA,3,NA,4,NA,6,NA
0,2.95770044399071,NA,NA,3,2,4,98,1,1,1,1,0,0,NA,1,4,NA,4,2,5,2,5,1
1,1.36767385754713,NA,NA,NA,NA,0,2,1,1,0,1,0,1,NA,0,2,NA,NA,NA,NA,NA,5,5
1,2.66559441768752,0,0,-2,3,NA,99,99,0,0,1,0,0,NA,0,2,2,5,2,3,5,4,NA
1,1.35172329265609,0,0,1,0,3,2,1,1,1,1,0,0,NA,0,2,2,5,5,7,6,7,4
1,1.24347956779778,-1,-1,NA,5,-1,1,1,1,1,1,1,0,NA,0,2,3,9,4,8,NA,9,10
